model,task,sparsity,achieved_sparsity,accuracy,precision,recall,f1_score,memory_size_mb,nominal_bits,effective_bits,latency_ms,throughput_samples_per_sec
distilbert,qnli,0.0,,0.8923668314113125,0.89242663410288,0.8923668314113125,0.8923535337276749,255.41699981689453,32,32.0,18.941603799991448,844.7014396957887
distilbert,qnli,0.1,0.10000000464482336,0.891085484166209,0.8911999571200321,0.891085484166209,0.8910650026388459,255.41699981689453,32,28.79999985136565,19.723932100002155,811.1972764293916
distilbert,qnli,0.2,0.20000000928964673,0.8865092440051254,0.8874939688074925,0.8865092440051254,0.8864005587066576,255.41699981689453,32,25.599999702731303,20.271707133345746,789.2773852124647
distilbert,qnli,0.3,0.29999999071035327,0.8874244920373421,0.8876835718889675,0.8874244920373421,0.8873865597571506,255.41699981689453,32,22.400000297268697,20.014759366677026,799.410060689449
distilbert,qnli,0.4,0.39999999535517666,0.8817499542375984,0.8817489025569438,0.8817499542375984,0.8817489556245928,255.41699981689453,32,19.200000148634345,19.250851000000086,831.1320886541549
distilbert,qnli,0.5,0.5,0.8515467691744463,0.8541227650464287,0.8515467691744463,0.8511914361130221,255.41699981689453,32,16.0,18.91298946666211,845.9794274301886
distilbert,qnli,0.6,0.6000000046448234,0.5464030752333883,0.7022542511225998,0.5464030752333883,0.4329854010134806,255.41699981689453,32,12.799999851365651,18.29188823333728,874.704666675129
distilbert,qnli,0.7,0.7000000092896467,0.5053999633900788,0.2554291229946929,0.5053999633900788,0.33935051043774495,255.41699981689453,32,9.599999702731306,17.94064656666402,891.8296194369054
distilbert,qnli,0.8,0.7999999907103533,0.5053999633900788,0.2554291229946929,0.5053999633900788,0.33935051043774495,255.41699981689453,32,6.400000297268694,17.634823099994417,907.2957471291598
distilbert,qnli,0.9,0.8999999953551766,0.5053999633900788,0.2554291229946929,0.5053999633900788,0.33935051043774495,255.41699981689453,32,3.2000001486343486,17.28674466667144,925.5646628973319
distilbert,qnli,0.95,0.9500000092896467,0.5053999633900788,0.2554291229946929,0.5053999633900788,0.33935051043774495,255.41699981689453,32,1.5999997027313064,17.244918100004725,927.8095672716252
distilbert,qnli,0.99,0.9899999972131059,0.5053999633900788,0.2554291229946929,0.5053999633900788,0.33935051043774495,255.41699981689453,32,0.32000008918060985,17.014262199988178,940.3875297049976
distilbert,qqp,0.0,,0.90375958446698,0.904498486585093,0.90375958446698,0.9040283194132759,255.41699981689453,32,32.0,17.358328399996026,921.7477415626993
distilbert,qqp,0.1,0.10000000464482336,0.9039079891169923,0.9048559280436069,0.9039079891169923,0.904232168172588,255.41699981689453,32,28.79999985136565,17.27720076666325,926.075943440581
distilbert,qqp,0.2,0.20000000928964673,0.9041058619836755,0.9048826069310547,0.9041058619836755,0.9043846303394559,255.41699981689453,32,25.599999702731303,17.24614660000346,927.7434763309266
distilbert,qqp,0.3,0.29999999071035327,0.9026712837002226,0.9031619691397351,0.9026712837002226,0.902866156015451,255.41699981689453,32,22.400000297268697,17.071919299996807,937.2115530093322
distilbert,qqp,0.4,0.39999999535517666,0.9000494682166708,0.9000452741446602,0.9000494682166708,0.9000473659427544,255.41699981689453,32,19.200000148634345,16.995577266667777,941.4213915157603
distilbert,qqp,0.5,0.5,0.879940638139995,0.8792219792401709,0.879940638139995,0.8792459180489014,255.41699981689453,32,16.0,16.954897900010714,943.680114994375
distilbert,qqp,0.6,0.6000000046448234,0.7393272322532772,0.7743563344109187,0.7393272322532772,0.7019335057957369,255.41699981689453,32,12.799999851365651,16.916724866662964,945.809553924382
distilbert,qqp,0.7,0.7000000092896467,0.6318327974276527,0.3992126839052533,0.6318327974276527,0.48928135840210346,255.41699981689453,32,9.599999702731306,16.80628850000782,952.0245948409463
distilbert,qqp,0.8,0.7999999907103533,0.4689339599307445,0.6134851205690419,0.4689339599307445,0.43265440069395644,255.41699981689453,32,6.400000297268694,16.66775423333699,959.9373602472839
distilbert,qqp,0.9,0.8999999953551766,0.36816720257234725,0.13554708904994778,0.36816720257234725,0.19814404086737375,255.41699981689453,32,3.2000001486343486,16.571863800011972,965.491883899531
distilbert,qqp,0.95,0.9500000092896467,0.36816720257234725,0.13554708904994778,0.36816720257234725,0.19814404086737375,255.41699981689453,32,1.5999997027313064,16.51821386665991,968.627729920251
distilbert,qqp,0.99,0.9899999972131059,0.36816720257234725,0.13554708904994778,0.36816720257234725,0.19814404086737375,255.41699981689453,32,0.32000008918060985,16.380449899997984,976.7741483096853
bert-base,qqp,0.0,,0.9142221122928519,0.9144853031503483,0.9142221122928519,0.9143328550080116,417.65528106689453,32,32.0,27.76882539998648,576.1856963531411
bert-base,qqp,0.1,0.10000000467693947,0.9137521642344794,0.914087380099623,0.9137521642344794,0.9138883398370539,417.65528106689453,32,28.799999850337937,28.109731400005938,569.1978970669431
bert-base,qqp,0.2,0.19999999766153026,0.9123917882760326,0.9129491764227836,0.9123917882760326,0.9125986433102421,417.65528106689453,32,25.60000007483103,27.86437830000068,574.2098326306318
bert-base,qqp,0.3,0.30000000233846974,0.9103883255008657,0.9123140289156065,0.9103883255008657,0.9108940744781021,417.65528106689453,32,22.39999992516897,27.746874666687898,576.6415206109372
bert-base,qqp,0.4,0.3999999953230605,0.906208261192184,0.9102365854665356,0.906208261192184,0.9070183164593598,417.65528106689453,32,19.200000149662063,27.64311920000182,578.805882369416
bert-base,qqp,0.5,0.5,0.8873608706406134,0.8977403529816176,0.8873608706406134,0.8888624537098164,417.65528106689453,32,16.0,27.604169066671602,579.6225911149737
bert-base,qqp,0.6,0.6000000046769395,0.760375958446698,0.8244484783661497,0.760375958446698,0.7636641531396847,417.65528106689453,32,12.799999850337937,27.444156466663117,583.0020689262384
bert-base,qqp,0.7,0.6999999976615303,0.6661142715805095,0.6525698780262572,0.6661142715805095,0.6209875134111831,417.65528106689453,32,9.60000007483103,27.18193996664316,588.6261252741602
bert-base,qqp,0.8,0.8000000023384697,0.6318327974276527,0.3992126839052533,0.6318327974276527,0.48928135840210346,417.65528106689453,32,6.39999992516897,26.94062529999428,593.8986130364018
bert-base,qqp,0.9,0.8999999953230605,0.421444471926787,0.5038663359958989,0.421444471926787,0.4055551086088635,417.65528106689453,32,3.2000001496620634,26.660947133344358,600.128717107319
bert-base,qqp,0.95,0.9499999976615303,0.6318327974276527,0.3992126839052533,0.6318327974276527,0.48928135840210346,417.65528106689453,32,1.60000007483103,26.352326033338613,607.1570296966661
bert-base,qqp,0.99,0.9900000018707757,0.6318327974276527,0.3992126839052533,0.6318327974276527,0.48928135840210346,417.65528106689453,32,0.3199999401351761,26.11378130001564,612.7033008425485
distilbert,mnli,0.0,,0.8232297503820682,0.8239155177168446,0.8232297503820682,0.823475490664271,255.4199333190918,32,32.0,19.655605399990844,814.017155635789
distilbert,mnli,0.1,0.10000000928948104,0.8228222109016811,0.8235667876238136,0.8228222109016811,0.8230693807606332,255.4199333190918,32,28.799999702736606,20.500112933314085,780.483505239569
distilbert,mnli,0.2,0.19999999535525947,0.8226184411614875,0.8229215735255538,0.8226184411614875,0.8226264175244801,255.4199333190918,32,25.600000148631697,19.565616933323327,817.7610782489296
distilbert,mnli,0.3,0.3000000046447405,0.8205807437595517,0.8203927229138906,0.8205807437595517,0.8204225704054655,255.4199333190918,32,22.399999851368303,18.98854203333637,842.6134019089159
distilbert,mnli,0.4,0.39999999071051895,0.8051961283749364,0.8053651752338384,0.8051961283749364,0.8051118050852161,255.4199333190918,32,19.200000297263394,18.755872733314995,853.0661424024329
distilbert,mnli,0.5,0.5,0.7694345389709628,0.7685181507424774,0.7694345389709628,0.7681763617728431,255.4199333190918,32,16.0,18.467548133321543,866.3846377706593
distilbert,mnli,0.6,0.600000009289481,0.4577687213448803,0.5788682955862727,0.4577687213448803,0.4003923536558457,255.4199333190918,32,12.799999702736606,18.365732366661785,871.1876924137174
distilbert,mnli,0.7,0.6999999953552595,0.3597554763117677,0.22762562244465992,0.3597554763117677,0.2566822373978292,255.4199333190918,32,9.600000148631697,18.47343683333141,866.1084639719764
distilbert,mnli,0.8,0.8000000046447405,0.32002037697401936,0.2187488227489499,0.32002037697401936,0.1790748334995057,255.4199333190918,32,6.399999851368303,18.303663966677657,874.1419220287511
distilbert,mnli,0.9,0.899999990710519,0.31818644931227713,0.1012426165259543,0.31818644931227713,0.15360894747290796,255.4199333190918,32,3.2000002972633936,17.861625866650378,895.7751169715048
distilbert,mnli,0.95,0.9499999953552595,0.31818644931227713,0.1012426165259543,0.31818644931227713,0.15360894747290796,255.4199333190918,32,1.6000001486316968,17.737787100001395,902.0290924564509
distilbert,mnli,0.99,0.9899999897815709,0.31818644931227713,0.1012426165259543,0.31818644931227713,0.15360894747290796,255.4199333190918,32,0.3200003269897316,17.28622620000048,925.5924234058418
bert-base,mnli,0.0,,0.8431991849210392,0.846162608718673,0.8431991849210392,0.843889446841071,417.6582145690918,32,32.0,31.70607919999687,504.63508587973183
bert-base,mnli,0.1,0.09999999532310253,0.8446255731023943,0.8471176605078307,0.8446255731023943,0.8452285442855201,417.6582145690918,32,28.80000014966072,30.962449366673656,516.7549831255131
bert-base,mnli,0.2,0.20000000233844872,0.8456444218033622,0.8468990659045441,0.8456444218033622,0.8460170424662121,417.6582145690918,32,25.59999992516964,29.49064703334443,542.544895061446
bert-base,mnli,0.3,0.2999999976615513,0.8465613856342333,0.8465629170247849,0.8465613856342333,0.8465430035377515,417.6582145690918,32,22.40000007483036,29.068906566665948,550.4163000870354
bert-base,mnli,0.4,0.40000000467689745,0.8379011716760061,0.8383578843357699,0.8379011716760061,0.83754884905449,417.6582145690918,32,19.19999985033928,29.528652466660787,541.8466019763258
bert-base,mnli,0.5,0.5,0.7844116148751911,0.7988251850185407,0.7844116148751911,0.7828684150370722,417.6582145690918,32,16.0,29.20172403332799,547.9128554786411
bert-base,mnli,0.6,0.5999999953231026,0.4414671421293938,0.6261255618032038,0.4414671421293938,0.3494114738868762,417.6582145690918,32,12.800000149660718,28.44604623332998,562.4683257827564
bert-base,mnli,0.7,0.7000000023384487,0.35557819663779927,0.26462042674919733,0.35557819663779927,0.18916723205490102,417.6582145690918,32,9.59999992516964,27.922891600004125,573.0065578164417
bert-base,mnli,0.8,0.7999999976615513,0.3544574630667346,0.12564009312370553,0.3544574630667346,0.18552091379707683,417.6582145690918,32,6.400000074830359,27.509415633327688,581.6190432128258
bert-base,mnli,0.9,0.9000000046768974,0.31818644931227713,0.10125293266784607,0.31818644931227713,0.1536208210871518,417.6582145690918,32,3.1999998503392817,27.274281500012876,586.6332354160254
bert-base,mnli,0.95,0.9500000023384487,0.31818644931227713,0.1012426165259543,0.31818644931227713,0.15360894747290796,417.6582145690918,32,1.5999999251696408,27.007796099981835,592.4215341662314
bert-base,mnli,0.99,0.989999998129241,0.31818644931227713,0.1012426165259543,0.31818644931227713,0.15360894747290796,417.6582145690918,32,0.32000005986428803,26.82269430000209,596.5097995393683
