model,task,sparsity,achieved_sparsity,accuracy,precision,recall,f1_score,memory_size_mb,nominal_bits,effective_bits,latency_ms,throughput_samples_per_sec
bert-base,stsb,0.95,0.9500000046769814,,,,,417.65234756469727,32,1.5999998503365944,26.517575166659906,603.3734193055678
bert-base,stsb,0.99,0.9900000056123778,,,,,417.65234756469727,32,0.3199998204039112,26.06412926666053,613.8704975065527
distilbert,cola,0.0,,0.8044103547459253,0.7983850924055627,0.8044103547459253,0.7985124035091737,255.41699981689453,32,32.0,17.05952989999181,937.8921983077438
distilbert,cola,0.1,0.10000000464482336,0.8024928092042186,0.796204450404867,0.8024928092042186,0.7960436261239047,255.41699981689453,32,28.79999985136565,16.93761153334587,944.6432260239321
distilbert,cola,0.2,0.20000000928964673,0.7948226270373921,0.7876412056753176,0.7948226270373921,0.786232164276033,255.41699981689453,32,25.599999702731303,16.934477700002997,944.8180382910285
distilbert,cola,0.3,0.29999999071035327,0.7938638542665388,0.7866002240327428,0.7938638542665388,0.7856533417184735,255.41699981689453,32,22.400000297268697,16.862386833342192,948.8573686592821
distilbert,cola,0.4,0.39999999535517666,0.775647171620326,0.7731178377391225,0.775647171620326,0.7742329817833173,255.41699981689453,32,19.200000148634345,16.834201299995282,950.446042248793
distilbert,cola,0.5,0.5,0.473633748801534,0.7526402653432794,0.473633748801534,0.44309471981679377,255.41699981689453,32,16.0,18.922526866678403,845.5530338379477
distilbert,cola,0.6,0.6000000046448234,0.3087248322147651,0.09531102202603486,0.3087248322147651,0.14565479263465841,255.41699981689453,32,12.799999851365651,16.793345033329388,952.7583675703171
distilbert,cola,0.7,0.7000000092896467,0.6912751677852349,0.47786135759650467,0.6912751677852349,0.5650900181101524,255.41699981689453,32,9.599999702731306,16.682182166672042,959.1071383913481
distilbert,cola,0.8,0.7999999907103533,0.6912751677852349,0.47786135759650467,0.6912751677852349,0.5650900181101524,255.41699981689453,32,6.400000297268694,16.601020799998878,963.7961540293403
distilbert,cola,0.9,0.8999999953551766,0.6912751677852349,0.47786135759650467,0.6912751677852349,0.5650900181101524,255.41699981689453,32,3.2000001486343486,16.52004240001285,968.5205166293977
distilbert,cola,0.95,0.9500000092896467,0.6912751677852349,0.47786135759650467,0.6912751677852349,0.5650900181101524,255.41699981689453,32,1.5999997027313064,16.58318736666236,964.8326130696225
distilbert,cola,0.99,0.9899999972131059,0.6912751677852349,0.47786135759650467,0.6912751677852349,0.5650900181101524,255.41699981689453,32,0.32000008918060985,16.367675566668066,977.5364824913308
bert-base,cola,0.0,,0.8312559923298178,0.827576925723864,0.8312559923298178,0.8248728348581026,417.65528106689453,32,32.0,28.833744033333158,554.9053907637958
bert-base,cola,0.1,0.10000000467693947,0.8302972195589645,0.8273210912955434,0.8302972195589645,0.8226022498248492,417.65528106689453,32,28.799999850337937,32.04134556666152,499.35480913909333
bert-base,cola,0.2,0.19999999766153026,0.822627037392138,0.8201979103441039,0.822627037392138,0.8127621584021403,417.65528106689453,32,25.60000007483103,31.708288966668377,504.5999176057444
bert-base,cola,0.3,0.30000000233846974,0.8149568552253116,0.8140972402387008,0.8149568552253116,0.8019911396439788,417.65528106689453,32,22.39999992516897,27.44533509997685,582.9770320426329
